"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","Points:0","Points:1","Points:2"
2.51468e+01,2.37975e+00,-1.65025e+01,2.22772e-02,1.53963e+01,-6.35026e-01,1.91349e+00,1,5.81660e+05,4.78556e+06,1.07518e+03
2.59317e+01,2.37562e+00,-1.85500e+01,2.18750e-02,1.55672e+01,-5.58756e-01,1.82636e+00,1,5.81670e+05,4.78556e+06,1.07878e+03
2.56310e+01,2.36228e+00,-1.85146e+01,2.17304e-02,1.55487e+01,-5.74712e-01,1.80137e+00,1,5.81671e+05,4.78555e+06,1.07726e+03
2.58298e+01,2.40340e+00,-1.71227e+01,2.24552e-02,1.54764e+01,-5.86111e-01,1.94068e+00,1,5.81661e+05,4.78557e+06,1.07866e+03
2.57583e+01,2.39336e+00,-1.84894e+01,2.24283e-02,1.55697e+01,-5.52207e-01,1.87962e+00,1,5.81668e+05,4.78557e+06,1.07934e+03
2.30710e+01,2.43855e+00,-2.51735e+01,2.53981e-02,1.60201e+01,-3.66894e-01,1.88171e+00,1,5.81693e+05,4.78559e+06,1.08635e+03
2.34910e+01,2.42829e+00,-2.50887e+01,2.42257e-02,1.60164e+01,-3.77741e-01,1.82457e+00,1,5.81694e+05,4.78558e+06,1.08576e+03
2.47802e+01,2.42798e+00,-2.22863e+01,2.28312e-02,1.58565e+01,-4.30411e-01,1.85458e+00,1,5.81684e+05,4.78558e+06,1.08345e+03
2.37765e+01,2.43334e+00,-2.26994e+01,2.51495e-02,1.58714e+01,-4.11947e-01,1.91701e+00,1,5.81684e+05,4.78559e+06,1.08415e+03
2.34063e+01,2.44007e+00,-2.35129e+01,2.55382e-02,1.59261e+01,-3.88622e-01,1.92220e+00,1,5.81686e+05,4.78559e+06,1.08485e+03
2.35608e+01,2.41499e+00,-2.49333e+01,2.41720e-02,1.59911e+01,-3.95896e-01,1.79292e+00,1,5.81695e+05,4.78558e+06,1.08500e+03
2.37048e+01,2.40799e+00,-2.41012e+01,2.43776e-02,1.59256e+01,-4.23262e-01,1.80431e+00,1,5.81692e+05,4.78557e+06,1.08387e+03
2.45815e+01,2.40915e+00,-2.22212e+01,2.36493e-02,1.58187e+01,-4.56626e-01,1.83631e+00,1,5.81684e+05,4.78557e+06,1.08268e+03
